code,name,area,state,type,pop
10050,Albury (C),305.9459,nsw,lga,53767
10130,Armidale Regional (A),8620.699,nsw,lga,30707
10250,Ballina (A),484.9389,nsw,lga,44208
10300,Balranald (A),21690.6753,nsw,lga,2340
10470,Bathurst Regional (A),3817.8646,nsw,lga,43206
10500,Bayside (A),49.8904,nsw,lga,174378
10550,Bega Valley (A),6278.8811,nsw,lga,34348
10600,Bellingen (A),1600.4337,nsw,lga,12963
10650,Berrigan (A),2065.7759,nsw,lga,8707
10750,Blacktown (C),240.0487,nsw,lga,366534
10800,Bland (A),8557.6535,nsw,lga,5985
10850,Blayney (A),1524.647,nsw,lga,7342
10900,Blue Mountains (C),1431.1442,nsw,lga,79260
10950,Bogan (A),14599.8996,nsw,lga,2621
11150,Bourke (A),41599.5072,nsw,lga,2630
11200,Brewarrina (A),19163.4798,nsw,lga,1655
11250,Broken Hill (C),170.1153,nsw,lga,17734
11300,Burwood (A),7.1281,nsw,lga,39886
11350,Byron (A),565.8029,nsw,lga,34574
11400,Cabonne (A),6022.3498,nsw,lga,13680
11450,Camden (A),201.0281,nsw,lga,94159
11500,Campbelltown (C) (NSW),311.9111,nsw,lga,168139
11520,Canada Bay (A),19.9233,nsw,lga,95159
11570,Canterbury-Bankstown (A),110.2368,nsw,lga,373931
11600,Carrathool (A),18934.4852,nsw,lga,2802
11650,Central Coast (C) (NSW),1681.0695,nsw,lga,342047
11700,Central Darling (A),53492.1931,nsw,lga,1837
11720,Cessnock (C),1965.1589,nsw,lga,59101
11730,Clarence Valley (A),10428.6803,nsw,lga,51647
11750,Cobar (A),45579.3299,nsw,lga,4722
11800,Coffs Harbour (C),1173.7437,nsw,lga,76551
12000,Coolamon (A),2430.9037,nsw,lga,4368
12150,Coonamble (A),9916.0536,nsw,lga,4014
12160,Cootamundra-Gundagai Regional (A),3981.4173,nsw,lga,11260
12350,Cowra (A),2808.7822,nsw,lga,12767
12380,Cumberland (A),71.5511,nsw,lga,236893
12390,Dubbo Regional (A),7534.5251,nsw,lga,53240
12700,Dungog (A),2249.9983,nsw,lga,9346
12730,Edward River (A),8883.4464,nsw,lga,8995
12750,Eurobodalla (A),3428.1695,nsw,lga,38288
12850,Fairfield (C),101.507,nsw,lga,210612
12870,Federation (A),5685.0486,nsw,lga,12462
12900,Forbes (A),4710.128,nsw,lga,9910
12930,Georges River (A),38.3459,nsw,lga,158411
12950,Gilgandra (A),4831.5057,nsw,lga,4226
13010,Glen Innes Severn (A),5479.977,nsw,lga,8908
13310,Goulburn Mulwaree (A),3220.0796,nsw,lga,30852
13340,Greater Hume Shire (A),5749.5185,nsw,lga,10686
13450,Griffith (C),1639.1728,nsw,lga,26882
13550,Gunnedah (A),4987.0295,nsw,lga,12661
13660,Gwydir (A),9259.6542,nsw,lga,5349
13800,Hawkesbury (C),2775.1377,nsw,lga,67083
13850,Hay (A),11325.9324,nsw,lga,2979
13910,Hilltops (A),7140.8863,nsw,lga,18782
14000,Hornsby (A),455.0375,nsw,lga,150752
14100,Hunters Hill (A),5.7169,nsw,lga,14909
14170,Inner West (A),35.3713,nsw,lga,198024
14200,Inverell (A),8597.2081,nsw,lga,16844
